Pertanyaan;Jawaban;Kategori
Jam berapa perpustakaan buka pada hari Senin hingga Jumat?;Perpustakaan buka setiap hari Senin hingga Jumat pukul 07:30 hingga 17:00 WIB.;Jadwal
Jam berapa perpustakaan buka pada hari Sabtu dan Minggu?;Perpustakaan buka pada hari Sabtu dan Minggu pukul 08:00 hingga 14:00 WIB, kecuali saat libur kuliah.;Jadwal
Apakah perpustakaan buka pada hari Sabtu dan Minggu saat libur kuliah?;Tidak, perpustakaan tutup pada hari Sabtu dan Minggu selama libur kuliah.;Jadwal
Bagaimana cara meminjam buku?;Anda perlu membawa kartu anggota perpustakaan dan menyerahkan buku yang ingin dipinjam ke petugas.;Prosedur
Berapa lama durasi peminjaman buku?;Durasi peminjaman buku adalah 14 hari. Anda dapat memperpanjang selama 7 hari jika tidak ada peminjam lain.;Prosedur
Bagaimana jika saya terlambat mengembalikan buku?;Denda keterlambatan adalah Rp 1.000 per hari untuk setiap buku.;Prosedur
Apakah saya bisa memesan buku secara online?;Ya, Anda bisa memesan buku melalui portal perpustakaan kami di www.perpustakaan.ac.id.;Prosedur
Apakah tersedia buku tentang fiksi ilmiah?;Ya, perpustakaan kami memiliki koleksi fiksi ilmiah. Anda dapat mencari judul spesifik melalui katalog.;Ketersediaan Buku
Di mana saya bisa menemukan buku teks matematika?;Buku teks matematika tersedia di rak kategori Sains, lantai 2.;Ketersediaan Buku
Apa saja layanan di perpustakaan?;Kami menyediakan layanan peminjaman buku, ruang baca, akses internet, dan layanan referensi.;Layanan
Bagaimana cara menjadi anggota perpustakaan?;Anda dapat mendaftar dengan mengisi formulir online di situs kami atau datang langsung ke bagian administrasi.;Prosedur
Apa saja fasilitas yang tersedia di perpustakaan?;Perpustakaan menyediakan berbagai fasilitas, antara lain: ruang baca dengan Wi-Fi gratis, komputer untuk pencarian buku, ruang diskusi, layanan peminjaman dan pengembalian buku, serta koleksi jurnal dan e-book.;Layanan
Bagaimana cara mencari buku tertentu di perpustakaan?;Anda dapat mencari buku melalui katalog online di website perpustakaan. Masukkan judul, nama pengarang, atau ISBN pada kolom pencarian. Setelah itu, Anda akan melihat lokasi buku di rak.;Ketersediaan Buku
Apakah saya bisa memperpanjang masa pinjam buku secara online?;Ya, Anda bisa memperpanjang masa pinjam buku melalui akun anggota perpustakaan di website. Pastikan buku tidak dalam status denda atau telah melewati batas waktu pengembalian.;Prosedur
Apa kebijakan denda untuk keterlambatan pengembalian buku?;Denda keterlambatan adalah Rp1.000 per hari per buku. Pastikan Anda mengembalikan buku tepat waktu untuk menghindari denda.;Prosedur
